0,3
1,2
2,0
3,3
4,3
5,3
6,4
7,3
8,2
9,4
10,4
11,3
12,2
13,2
14,2
15,4
16,2
17,4
18,1
19,4
20,4
21,3
22,4
23,3
24,3
26,3
27,4
28,3
29,1
30,1
31,2
32,3
33,3
34,4
36,4
37,1
38,4
39,3
40,4
41,2
42,4
43,2
44,2
45,4
46,4
47,3
48,4
49,4
50,2
51,1
52,4
53,4
54,2
55,2
56,4
57,4
58,2
59,2
62,2
63,3
64,3
65,3
66,2
67,3
69,3
70,3
71,4
72,4
73,0
74,4
75,3
76,2
77,1
78,4
79,1
80,3
81,2
82,3
83,1
84,3
85,1
86,4
87,1
88,2
90,3
91,2
92,4
93,3
94,4
95,4
96,1
97,3
99,3
100,4
101,4
102,2
103,2
104,3
105,2
106,2
108,3
109,4
110,2
111,2
112,2
113,3
114,3
115,2
116,3
117,3
119,3
120,4
121,4
123,0
124,3
125,3
126,3
127,2
128,3
129,4
130,2
131,0
132,3
133,2
134,2
135,4
136,2
137,3
138,3
139,3
140,2
141,3
142,4
143,4
144,3
146,1
148,1
149,4
150,3
151,4
154,4
155,4
157,3
158,4
159,4
161,3
162,2
163,4
164,1
165,1
166,2
167,4
168,4
169,3
170,4
171,3
172,4
173,2
174,4
176,2
177,1
178,1
180,2
182,2
183,2
184,3
185,3
186,2
188,0
189,4
190,2
191,3
192,1
193,2
194,2
195,1
198,2
199,2
200,1
201,4
202,2
203,2
204,3
206,3
207,3
208,2
209,4
210,3
211,3
212,3
215,4
216,2
217,2
218,2
219,3
221,4
222,2
224,4
225,2
226,3
227,4
229,2
230,3
232,4
233,1
234,3
235,3
236,4
238,4
239,4
240,4
241,3
243,3
244,1
245,1
246,2
247,4
248,4
251,3
252,1
253,3
254,1
255,4
256,2
257,3
259,4
260,4
263,3
264,4
265,4
266,3
267,4
268,3
269,2
270,1
271,4
274,3
275,4
276,4
277,4
278,2
280,2
281,3
282,3
283,3
284,2
285,3
286,4
287,3
288,4
289,1
290,4
292,0
293,1
294,4
295,3
296,3
297,1
298,0
299,3
300,2
301,3
302,3
303,1
304,4
306,3
307,4
308,4
309,3
311,2
312,3
313,3
315,2
317,4
319,2
321,3
323,3
324,0
325,3
326,2
327,2
328,2
329,1
331,3
332,4
334,3
335,3
336,3
337,2
338,2
339,4
340,3
341,4
342,2
343,4
344,4
348,3
349,3
350,3
351,3
352,0
353,3
355,4
356,4
357,4
358,4
359,0
360,2
361,3
362,4
363,3
364,3
365,0
366,4
367,4
368,4
369,3
370,3
371,3
375,3
376,3
377,4
378,4
379,3
380,3
382,4
383,2
384,4
385,1
386,3
387,3
389,4
390,2
391,3
393,2
394,3
395,3
396,3
397,3
398,4
400,4
401,2
402,3
403,3
404,1
405,4
406,4
407,2
408,1
409,3
410,3
412,2
416,4
417,3
418,2
420,4
421,3
423,4
424,3
425,0
426,4
427,3
428,3
431,4
432,4
433,3
434,4
436,3
438,4
440,3
441,1
442,3
443,3
444,0
447,2
449,0
450,2
451,3
452,2
455,2
456,0
457,4
459,1
460,3
461,2
463,4
464,2
465,4
467,3
469,3
470,0
471,3
472,1
473,3
474,4
476,3
478,4
479,2
480,3
481,3
482,2
483,4
484,4
489,3
491,3
492,4
493,2
494,4
496,3
497,3
498,3
501,2
502,4
503,2
504,4
507,1
508,4
511,3
512,3
513,3
515,2
516,3
517,1
518,4
519,0
520,1
521,4
522,4
523,4
526,1
528,3
529,3
530,3
532,3
533,4
534,1
535,2
536,4
537,4
538,4
539,3
542,3
543,2
545,3
546,2
547,3
548,4
549,2
550,3
551,4
552,3
553,4
555,3
556,3
558,3
560,4
561,4
563,2
565,0
567,3
568,4
569,1
572,3
573,3
574,4
576,3
577,1
578,3
579,2
580,1
581,4
582,3
583,4
584,3
585,3
588,2
589,3
590,4
591,3
592,1
594,4
595,4
596,4
597,3
598,2
599,2
601,4
602,4
603,4
604,3
605,4
606,3
607,4
608,3
609,3
610,0
612,4
613,3
614,3
615,3
616,3
617,3
618,3
619,4
